HfGRNUOqhLk	918175	928071	939607	945922
Kk5naOEL3gQ	818602	870612	977927	1025402
MF_EPWq89mo	207966	220719	234605	246280
4bKuBuPB_QA	85005	85670	86448	87005
eYOIhHu2gho	475136	475619	476007	476179
0NDPSeDiYBI	78960	78996	79014	79021
Rv_QcHj5Vxs	286338	297320	307211	315816
84GjVhVAULU	766802	873441	955206	986896
YxvjzpH9vPs	157354	212326	283959	308378
4m8xhQ75gvM	834928	855356	864661	869796
y6Pxg27GX9Y	423632	441115	456349	467351
X84S0j4GPyU	1085282	1193416	1298695	1343726
VXYMOITklKQ	701136	728137	754700	769066
WRyCD2AyqP4	10269665	10452069	10728202	10944900
CzwpjioJIUo	329362	330533	331768	332900
y2_2IxRCxvM	537064	579178	618700	636091
koOuhXmdBdI	2018228	2021781	2025226	2027356
U487ngbPKKk	1453740	1505972	1567673	1611520
-h0hGTDzdKs	40749	50327	56848	59681
zST4EESh2aE	5534365	5559080	5594311	5614636
IR-h0BcCV_o	57284	62104	69561	87460
H-HNDhfryXQ	2344131	2376276	2432474	2477251
O1hXeuoDONo	829742	830249	831849	832846
pqVX4QN1Nsg	1858863	1865957	1875803	1881261
S2wvYiCxpdU	318395	339604	356340	361250
lyfISRoBPZQ	2213190	2221209	2230023	2235945
EN3Xm1w-oGg	491118	530968	584341	619954
C910ulZVXjY	1790597	1826126	1872027	1895248
bGMlQRpzeLo	25315410	25998937	26733703	27194164
CDDzP-tW6XQ	1715959	1725362	1736469	1744810
0CtA4eHKcS8	2234675	2255402	2276988	2290732
HJUMWJgYvPs	1398569	1454611	1495424	1517849
xNLL2OENNdk	229345	259447	286210	298600
KnFfCJKRitM	38245	53019	63862	68602
dEB-TuFjVzE	4458517	4498596	4540578	4565393
8eTCqqd4qkw	4602895	4646539	4703971	4724682
cQwqzHgIIl0	3287069	3301219	3318498	3327688
Y111jltWqoo	545117	557306	550721	552416
d7jD-gOcwx8	352879	360932	368189	372469
Jw6xsgQuv4U	185263	208801	227268	238168
lW_CN08A3jM	1502169	1556468	1621750	1651481
sy_NRNgJ8zY	137207	181501	213642	228017
L2VTYeS9rlw	208831	212988	217165	219695
7ha13cIHibA	553620	617274	646912	657403
w9F9axqZTnQ	2098663	2099498	2101370	2102244
4luZQmTgfc0	110006	118505	126387	130262
_TSlROwQa10	2201104	2610834	3137790	3385353
PSrIh_fu804	113319	117657	122151	124081
dNaiIOCKK3c	39287	42033	46735	53608
6VH032e4CaQ	600523	604269	607779	610307
apSPz24XXXM	257751	281753	303464	314716
VZTetCZGWuI	700234	720451	739883	749019
0bcPhHJfbC0	2576462	2710923	2869667	2939254
0kL6Nins8kw	4386616	4674867	5575212	6380766
TAujO9tcu2Y	1219628	1284906	1329322	1350925
YyFMM8EhKUc	1302070	1316664	1336655	1347092
Cm3233wSAGA	194888	200781	206748	209825
VFKrzbRm-qA	121865	131423	138986	142224
GzALNQvsejs	350455	377260	406110	422809
_LpkDmpSKGQ	744779	1095031	1635611	1890416
XrRM4LGbYGU	190899	198675	207653	211468
Vk1ohbgV_wk	108942	134947	172406	196043
BKG7F0doeRw	341120	398417	449392	482958
qfMH7GGYeFQ	169247	212329	245784	263335
K-0z8551g7k	50114	52025	52515	53153
lQXvS6OLA6w	733495	748821	760446	764728
4Skc3YjeTFU	1424937	1441525	1462128	1472079
RaXNJ7S860U	749329	749641	749777	749836
5wl3sF31g8c	135454	138337	139025	139239
ZRNdEIdL0Xk	555725	581552	617000	634480
6_J2IvIeyaM	249698	252234	255121	256946
WUgaaLeLPfM	7932071	8705601	9724165	10654388
hWWw-06ebkY	1032427	1049473	1063748	1074756
iVyPhKlthgk	2490323	2525083	2584328	2631159
6qbZEcNtuKA	794774	799474	805983	810605
kGQeFzjpMHc	714668	1011639	1580060	2085087
Im4yFXNCyy8	1054261	1979343	2472483	2708304
CTCQvQeKsMg	209309	210429	211309	212136
rmDwpCASLHE	437451	444763	450613	452735
Vqs0jkoIH4U	114329	118346	120826	121803
ocNWBEbEpCk	3351326	3390403	3424014	3453275
kycUJ_Dzebs	2257257	2610319	3117281	3321120
GUA6qFql8EI	271532	302924	342047	363987
g4DEtdHcOpk	106777	110700	114983	116856
gvPM3qEL2hg	111862	112912	114305	115317
AvHoOgodJzk	1159306	1198752	1247252	1275664
MbfNHvxwu_c	423419	446128	461864	472751
2upe3h1XeZc	776673	779781	783623	786943
9wgaix00KCE	645026	771385	847539	907937
aop_GVqt724	685984	957288	1131370	1176092
ZubZ-9kUQ3c	423386	431128	437085	439804
N6IMt3uMODA	163614	170182	176338	179479
0pHKWCnSHhg	1494514	1510171	1525449	1532923
hCqYimA3ubQ	74596	75630	76160	76309
FW5vAykqQV8	264185	438622	581771	647528
iCVp9pDcDAM	263271	294501	323382	341469
TMjgM3l5l3M	21669078	21911938	22212210	22410296
IeFYz58yBOo	149648	160606	168366	172077
iT8McIwynUg	39813	43324	46434	47286
1jc57fUxJhA	681168	701108	715945	723453
9gW4NxZlSeo	163177	165456	168441	170261
4OUfyETcFbg	391651	407269	423364	430683
7tHAM2XCgi0	1121940	1123575	1124975	1125276
GSmZlGwqv_8	1255397	1285036	1319020	1351700
L2PTu_sT6tU	69459	80225	88527	94494
nSJhOAVfgTE	833150	846980	858541	864694
CMIndaI7Xfg	1445839	1454972	1469176	1479112
EJDEhhN4stQ	2671415	2696267	2719064	2732702
gPeUqezt8hM	237106	245613	253669	258278
WNW1kw_DJQI	270483	326397	375725	398264
YA4hoJiAg2g	217986	235373	250676	258395
6J9KDUX5KoM	254777	256574	258720	259619
VJErp79VxFs	309868	310467	310974	311296
c6GDV5KKGxg	52630	54575	56115	56584
37ABwYbWna0	313745	333513	348013	353391
6kO0Mducvbc	445434	616376	703727	728184
mPXJlhkl7R0	1412698	1430642	1448196	1457935
BuDjScenL1w	316440	317548	318026	318002
DFj-3xA5pyM	511069	576227	651317	698286
OTCKYZ9qKmA	2111143	2120044	2128883	2133957
AWhHUaEfecc	2043094	2080349	2134936	2172994
TUVQXMs0C-k	349387	358764	374552	383112
7kcfiIlJrVo	1394002	1401353	1408547	1411866
1u2ROpVZbY8	40361	42144	43509	44290
42qe8aMqXts	8321811	8813824	9422244	9713152
fRxtveLkkOk	71510	111259	171042	198396
f8wapwSVQb4	3118448	3249568	3341233	3390518
8o4pJzpOK1U	531726	541850	558817	577347
Qle27O6fiNQ	12460167	12857602	13348001	13657250
nZOE9Cw8-_s	513354	519070	526012	529992
2CsU8C3CrqI	435472	463702	488188	500048
UhVXIumUYbk	871885	909346	923554	931485
9SdgvncW92E	134302	142772	149226	152444
dufRDzccae4	840082	847077	856438	861383
y5BU3X7lc9g	706532	756999	818299	850371
TRyydPcJj8Q	1461653	1484918	1512350	1526260
o2YQ0my602c	634952	673882	719867	764793
rt-mr0nw3Uo	5139340	5145902	5151923	5155848
bIGFKxu-Onw	406966	434307	468590	493346
